rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
255	1	1	1	0.403385292846404	-171.20696417747618	0.9738693467336684	36.815981244348265	C21H31NO13	[M + H]+	VMEPGASCAOVEGW	InChI=1S/C21H31NO13/c22-11(5-9-1-3-10(26)4-2-9)19(31)33-17-16(29)14(27)12(6-23)32-20(17)35-21(8-25)18(30)15(28)13(7-24)34-21/h1-4,11-18,20,23-30H,5-8,22H2	[(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl] (2S)-2-amino-3-(4-hydroxyphenyl)propanoate	C1=CC(=CC=C1CC(C(=O)OC2C(C(C(OC2OC3(C(C(C(O3)CO)O)O)CO)CO)O)O)N)O	-3.52188277	11843135	COCONUT:(CNP0175066);Natural Products:(UNPD90575);PubChem:(11843135);SuperNatural:(SN00325243)	3178498	506.1866	115.479	820_6_Brassimet_Leaves_PAXs_23_Pos_4700
256	1	1	1	0.4029381954090224	-52.48093357442039	0.9999999999999999	26.22778912419394	C9H7NS	[M + H]+	ZHBLIWDUZHFSJW	InChI=1S/C9H7NS/c1-3-8(7-10-5-1)9-4-2-6-11-9/h1-7H	3-thien-2-ylpyridine	C1=CC(=CN=C1)C2=CC=CS2	2.20000005	595145;102571947	PubChem class - safety and toxic;PubChem:(595145 102571947);PubMed	67108930	162.0369	335.775	1256_6_Brassimet_Leaves_PAXs_31_Pos_6007
257	1	1	1	0.40269212443482466	-92.70472992821533	0.9999999999999999	166.9698412417054	C16H24O3	[M + H]+	SZVNKXCDJUBPQO	InChI=1S/C16H24O3/c1-2-3-5-9-14-13(11-12-15(14)17)8-6-4-7-10-16(18)19/h3,5,11-14H,2,4,6-10H2,1H3,(H,18,19)	Dinor-oxo-phytodienoic acid	CCC=CCC1C(C=CC1=O)CCCCCC(=O)O	3.5999999	644074;5497148;91746127;101409946;129900400;131751254;132274651	COCONUT:(CNP0347048);HMDB:(32090);PubChem:(644074 5497148 91746127 101409946 129900400 131751254 132274651);CHEBI:(138434 138432 138775);additional;PubChem class - bio and metabolites;Training Set;PubMed	19415146	265.1796	1039.436	2142_6_Brassimet_Leaves_PAXs_48_Pos_2759
258	8	1	6	0.40203440290893794	-223.00662253833983	0.3773869346733668	79.61193396240736	C31H53NO8	[M + K]+	IPFSWXDUSATKNJ	InChI=1S/C31H53NO8/c1-9-22-14-19(4)25(34)12-11-18(3)13-23(17-33)27(10-2)39-28(36)16-26(35)21(6)30(22)40-31-29(37)24(32(7)8)15-20(5)38-31/h11-13,19-24,26-27,29-31,33,35,37H,9-10,14-17H2,1-8H3	null	CCC1CC(C(=O)C=CC(=CC(C(OC(=O)CC(C(C1OC2C(C(CC(O2)C)N(C)C)O)C)O)CC)CO)C)C	4.06903744	""	COCONUT:(CNP0335627)	2097152	606.348	692.443	479_6_Brassimet_Leaves_PAXs_17_Pos_4147
259	1	1	2	0.40086782344000366	-89.46800576809542	0.8010050251256282	35.58706409789625	C7H9NOS	[M + Na]+	UKIXHMCTJKJFEA	InChI=1S/C7H9NOS/c1-3-6(9)7-8-5(2)4-10-7/h4H,3H2,1-2H3	4-Methyl-2-propionylthiazole	CCC(=O)C1=NC(=CS1)C	1.79999995	20560352	COCONUT:(CNP0322098);Natural Products:(UNPD37616);PubChem class - food;PubChem:(20560352)	136347650	178.0319	631.502	445_6_Brassimet_Leaves_PAXs_17_Pos_4086
260	5	1	2	0.40009563419733185	-155.63953884447358	0.032160804020100506	73.62472747051241	C22H42O7	[M + Na]+	JTWNPFJEQQORKD	InChI=1S/C22H42O7/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(23)28-16-17-19(24)20(25)21(26)22(27)29-17/h17,19-22,24-27H,2-16H2,1H3	[(2R,3R,4S,5R,6S)-3,4,5,6-tetrahydroxyoxan-2-yl]methyl hexadecanoate	CCCCCCCCCCCCCCCC(=O)OCC1C(C(C(C(O1)O)O)O)O	4.80000019	9823347;11560765;11154325;18943107;53974377;56626576;68407787;71768942;129853240;131953429	PubChem:(9823347 11560765 11154325 18943107 53974377 56626576 68407787 71768942 129853240 131953429);PubMed;KEGG Mine;PubChem class - bio and metabolites	8606711874	441.2841	944.42	1490_6_Brassimet_Leaves_PAXs_36_Pos_990
261	1	1	1	0.39922218985632646	-35.39872342543898	0.9999999999999999	72.06864918436966	C19H30O8	[M + H]+	SWYRVCGNMNAFEK	InChI=1S/C19H30O8/c1-10-7-12(21)8-18(3,4)19(10,25)6-5-11(2)26-17-16(24)15(23)14(22)13(9-20)27-17/h5-7,11,13-17,20,22-25H,8-9H2,1-4H3	Roseoside	CC1=CC(=O)CC(C1(C=CC(C)OC2C(C(C(C(O2)CO)O)O)O)O)(C)C	-1.0	6325925;9930064;11165077;13857517;10317980;21630887;23757167;44570408;73815023;101020610;101993230;129316932;132587006;133561811;133562826;133568293	HMDB:(29772);SuperNatural:(SN00273685 SN00326418 SN00347778 SN00028365 SN00282195 SN00372413 SN00230019 SN00161976 SN00143688 SN00028366 SN00286373);ZINC bio:(ZINC31154891 ZINC31154896);additional;MeSH:(9930064 10317980 13857517 73815023 129316932 133561811 133562826);PubMed;COCONUT:(CNP0241893);KNApSAcK:(29328);Natural Products:(UNPD136770 UNPD133935 UNPD66311 UNPD110633 UNPD226674 UNPD6255 UNPD218317 UNPD17220 UNPD214197 UNPD52234 UNPD166371 UNPD9182 UNPD83267 UNPD212013 UNPD10450);PubChem:(6325925 9930064 11165077 13857517 10317980 21630887 23757167 44570408 73815023 101020610 101993230 129316932 132587006 133561811 133562826 133568293);CHEBI:(139452);PubChem class - bio and metabolites;Training Set	20504702	387.2015	286.369	1904_6_Brassimet_Leaves_PAXs_44_Pos_1114
262	1	1	3	0.3989237465233314	-86.77479054801442	0.5904522613065328	48.74262081266605	C19H32O8	[M + Na]+	QIMJAXUPKMRBAD	InChI=1S/C19H32O8/c1-9-7-12(17(25)19(3,4)11(9)6-5-10(2)21)26-18-16(24)15(23)14(22)13(8-20)27-18/h5-7,10-18,20-25H,8H2,1-4H3	null	CC1=CC(C(C(C1C=CC(C)O)(C)C)O)OC2C(C(C(C(O2)CO)O)O)O	-0.899999976	71514951	COCONUT:(CNP0380206);Natural Products:(UNPD212610);PubChem:(71514951)	2129922	411.1992	322.9	1809_6_Brassimet_Leaves_PAXs_42_Pos_2284
263	1	1	1	0.39745757350736516	-220.81975067809242	0.9999999999999999	69.59161242160836	C16H20N2O5	[M + H]+	CZIUKWBNWPLOGO	InChI=1S/C16H20N2O5/c19-14(20)7-6-13(16(22)18-8-10-23-11-9-18)17-15(21)12-4-2-1-3-5-12/h1-5,13H,6-11H2,(H,17,21)(H,19,20)	4-benzamido-5-morpholin-4-yl-5-oxopentanoic acid	C1COCCN1C(=O)C(CCC(=O)O)NC(=O)C2=CC=CC=C2	0.200000003	201642	PubChem:(201642);PubChem class - safety and toxic	67108866	321.1446	272.405	2072_6_Brassimet_Leaves_PAXs_47_Pos_2585
264	3	1	3	0.39590607644086073	-115.35707125660804	0.207035175879397	18.838356721436234	C20H20N2O4	[M - H]-	XBIUBLLFSQQXGR	InChI=1S/C20H20N2O4/c1-13-6-2-5-9-18(13)26-12-19(23)22-17(20(24)25)10-14-11-21-16-8-4-3-7-15(14)16/h2-9,11,17,21H,10,12H2,1H3,(H,22,23)(H,24,25)	Oprea1_797927	CC1=CC=CC=C1OCC(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)O	3.10957766	1078078;1078079;3151743;3321796;6963891	COCONUT:(CNP0025425);Training Set;PubChem:(1078078 1078079 3151743 3321796 6963891);PubMed	2113602	351.1325	83.596	2458_6_Brassimet_Leaves_PAXs_6_Neg_863
265	3	1	1	0.39577792230264197	-4.879085454132619	0.3462311557788946	27.99092414237056	C14H19NO9S2	[M - H]-	QQGLQYQXUKHWPX	InChI=1S/C14H19NO9S2/c16-7-9-11(17)12(18)13(19)14(23-9)25-10(15-24-26(20,21)22)6-8-4-2-1-3-5-8/h1-5,9,11-14,16-19H,6-7H2,(H,20,21,22)	Glucotropeolin	C1=CC=C(C=C1)CC(=NOS(=O)(=O)O)SC2C(C(C(C(O2)CO)O)O)O	-0.200000003	656497;656498;437038;3326318;5478198;6537197;6602384;9548604;9548605;9573945;15559541;21600402;23350893;89136675;92277465;92277466;94937676;94937677;125039906;125039907;124555619;124639103;124005214;131706957	HMDB:(38419);SuperNatural:(SN00384273 SN00162772 SN00300581 SN00158530 SN00237045);ZINC bio:(ZINC04095807);additional;MeSH:(656498 6537197 9548605 9573945);Plantcyc:(GLUCOTROPEOLIN);PubMed;COCONUT:(CNP0112901 CNP0236854);KNApSAcK:(7346);Natural Products:(UNPD101990 UNPD230567 UNPD119059 UNPD137546 UNPD207713 UNPD215745);PubChem:(656497 656498 437038 3326318 5478198 6537197 6602384 9548604 9548605 9573945 15559541 21600402 23350893 89136675 92277465 92277466 94937676 94937677 125039906 125039907 124555619 124639103 124005214 131706957);CHEBI:(17127 58021);PubChem class - bio and metabolites;KEGG:(C02153);Training Set;Biocyc:(GLUCOTROPEOLIN)	20638078	408.0428	164.362	626_6_Brassimet_Leaves_PAXs_2_Neg_435
266	1	1	1	0.39512809085599093	-162.17544290005486	0.9999999999999999	102.63647580578993	C11H13N3O2	[M + H]+	CXHKYNGLOYMSAH	InChI=1S/C11H14N3O2/c1-15-11-8-9(2-3-10(11)13-12)14-4-6-16-7-5-14/h2-3,8H,4-7H2,1H3/q+1	2-methoxy-4-morpholin-4-ylbenzenediazonium	COC1=C(C=CC(=C1)N2CCOCC2)[N+]#N	2.29999995	105639	PubChem:(105639);NORMAN:(NS00054382)	262146	220.1076	516.263	2387_6_Brassimet_Leaves_PAXs_52_Pos_3313
267	1	1	2	0.39504624666367505	-92.22393011986648	0.9944723618090453	76.64722839999895	C11H18N2O4	[M + H]+	CSRXCVLPMJBQIM	InChI=1S/C11H18N2O4/c1-6(2)5-8-11(17)12-7(10(16)13-8)3-4-9(14)15/h6-8H,3-5H2,1-2H3,(H,12,17)(H,13,16)(H,14,15)	null	CC(C)CC1C(=O)NC(C(=O)N1)CCC(=O)O	0.300000012	16098234;86178349;124671327;124671328;124671329	COCONUT:(CNP0090434);Training Set;PubChem:(16098234 86178349 124671327 124671328 124671329);PubMed	2113602	243.1335	108.926	1399_6_Brassimet_Leaves_PAXs_34_Pos_731
268	1	1	2	0.39483820775190176	-77.47955554490093	0.5959798994974875	77.2102429307773	C15H27N3O6	[M + H]+	SOYWRINXUSUWEQ	InChI=1S/C15H27N3O6/c1-7(2)11(14(22)18-12(8(3)4)15(23)24)17-13(21)9(16)5-6-10(19)20/h7-9,11-12H,5-6,16H2,1-4H3,(H,17,21)(H,18,22)(H,19,20)(H,23,24)	L-alpha-glutamyl-L-valyl-L-valine	CC(C)C(C(=O)NC(C(C)C)C(=O)O)NC(=O)C(CCC(=O)O)N	-0.489330053	18220498;71464666	PubChem:(18220498 71464666);CHEBI:(73502)	34	346.1967	218.404	912_6_Brassimet_Leaves_PAXs_25_Pos_4943
269	1	1	1	0.3944646704102764	-7.212339823160235	0.9999999999999999	129.2562576197328	C11H12O5	[M + H]+	PCMORTLOPMLEFB	InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)	Sinapate	COC1=CC(=CC(=C1O)OC)C=CC(=O)O	1.5	10743;1549091;637775;11356559;16109943;54710960;54725814;54733734;90861324;129711653	HMDB:(32616 34069 127488);PubChem class - food;SuperNatural:(SN00273941 SN00306221 SN00157687 SN00001142);ZINC bio:(ZINC00153654 ZINC06004394);additional;MeSH:(10743 637775 1549091);Plantcyc:(SINAPATE);PubMed;NORMAN:(NS00015085);COCONUT:(CNP0063218 CNP0195904);KNApSAcK:(34327);Natural Products:(UNPD178775 UNPD222558 UNPD142592);PubChem:(10743 1549091 637775 11356559 16109943 54710960 54725814 54733734 90861324 129711653);CHEBI:(77131 30023 15714 76350);PubChem class - bio and metabolites;KEGG:(C00482);PubChem class - safety and toxic;Training Set;Biocyc:(SINAPATE)	222226814	225.076	181.573	2260_6_Brassimet_Leaves_PAXs_50_Pos_3017
270	1	1	1	0.3944624010690478	-87.84874772467175	0.8979899497487438	57.3467685210521	C15H19NO9	[M + H]+	PMBZSEOAOIYRMW	InChI=1S/C15H19NO9/c1-22-6-2-3-7-8(4-6)23-15(13(21)16-7)25-14-12(20)11(19)10(18)9(5-17)24-14/h2-4,9-12,14-15,17-20H,5H2,1H3,(H,16,21)	2-O-Glucosyl-7-methoxy-1,4(2H)-benzoxazin-3-one	COC1=CC2=C(C=C1)NC(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O	-1.29999995	161229;11035692;66840669;71501237;77195052;71481195;102342371;133556381	COCONUT:(CNP0263654);HMDB:(37263);Natural Products:(UNPD220893 UNPD27395 UNPD65128 UNPD138853);PubChem:(161229 11035692 66840669 71501237 77195052 71481195 102342371 133556381);SuperNatural:(SN00287604 SN00372191 SN00266100);CHEBI:(134457);additional;PubChem class - bio and metabolites;MeSH:(161229 77195052);Training Set;PubMed	20496494	358.1138	119.831	344_6_Brassimet_Leaves_PAXs_15_Pos_3932
271	1	1	1	0.3937320925146777	-88.87541740480519	0.9999999999999999	38.00188094800345	C15H16O8	[M + H]+	PWRWGDUCAUFYAW	InChI=1S/C15H16O8/c16-7-3-5-8-4-1-2-6-9(8)22-15-12(19)10(17)11(18)13(23-15)14(20)21/h1-7,10-13,15,17-19H,(H,20,21)	null	C1=CC=C(C(=C1)C=CC=O)OC2C(C(C(C(O2)C(=O)O)O)O)O	-0.100000001	131837800	PubChem:(131837800);HMDB:(134044)	10	325.0932	237.288	99_6_Brassimet_Leaves_PAXs_10_Pos_3545
272	1	1	1	0.3924483681321124	-83.6303274012216	0.9989949748743717	37.69042069134239	C22H28O14	[M + H]+	DVSKLQXWNBGVPV	InChI=1S/C22H28O14/c23-8-14-16(28)17(29)18(30)20(35-14)34-13-5-9(1-3-10(13)24)2-4-15(27)36-19-11(25)6-22(33,21(31)32)7-12(19)26/h1-5,11-12,14,16-20,23-26,28-30,33H,6-8H2,(H,31,32)	null	C1C(C(C(CC1(C(=O)O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)OC3C(C(C(C(O3)CO)O)O)O)O	-2.20000005	90479638	COCONUT:(CNP0129207);Natural Products:(UNPD210011);PubChem:(90479638)	2129922	517.1552	158.502	2424_6_Brassimet_Leaves_PAXs_53_Pos_1244
273	1	1	1	0.3919182461265963	-44.46435772628237	0.9999999999999999	64.36110103182509	C11H10N2O	[M + H]+	ZBQCXEREMRGOCO	InChI=1S/C11H10N2O/c1-14-9-2-3-11-10(6-9)8(4-5-12)7-13-11/h2-3,6-7,13H,4H2,1H3	5-Methoxyindole-3-acetonitrile	COC1=CC2=C(C=C1)NC=C2CC#N	1.70000005	3564783	PubChem class - safety and toxic;PubChem:(3564783);PubMed	67108930	187.0866	779.536	177_6_Brassimet_Leaves_PAXs_11_Pos_3672
274	1	1	1	0.39104175506012295	-11.848352023373243	0.9999999999999999	37.09335943973864	C15H32O8	[M + H3N + H]+	AGWKUHGLWHMYTG	InChI=1S/C15H32O8/c1-17-4-5-19-8-9-21-12-13-23-15-14-22-11-10-20-7-6-18-3-2-16/h16H,2-15H2,1H3	AmbotzPEG1032	COCCOCCOCCOCCOCCOCCOCCO	-1.5	526555	PubChem:(526555);PubChem class - bio and metabolites	16777218	358.2438	259.342	1830_6_Brassimet_Leaves_PAXs_42_Pos_2330
275	2	1	2	0.3875803182347384	-241.47630674132355	0.010050251256281407	55.14374203224393	C24H41NO10	[M + Na]+	IJASURGZDJYQGF	InChI=1S/C24H41NO10/c1-12-9-24(31-7,35-14(3)13(12)2)19(28)21(29)25-22-18-17(32-11-33-22)20(30-6)23(4,5)16(34-18)8-15(27)10-26/h13-20,22,26-28H,1,8-11H2,2-7H3,(H,25,29)	Mycalamide A	CC1C(OC(CC1=C)(C(C(=O)NC2C3C(C(C(C(O3)CC(CO)O)(C)C)OC)OCO2)O)OC)C	-0.100000001	122770;9892314;10029076;10345974;11329571;10481318;23426005;24994564;44583760;46173852;101526808;101206463;102354995;118718436;134820178;134918171	SuperNatural:(SN00326366 SN00298113);additional;MeSH:(122770 10345974 44583760 46173852 101526808 134820178);PubMed;COCONUT:(CNP0394094);KNApSAcK:(47065);Natural Products:(UNPD194331 UNPD101345);PubChem:(122770 9892314 10029076 10345974 11329571 10481318 23426005 24994564 44583760 46173852 101526808 101206463 102354995 118718436 134820178 134918171);CHEBI:(80857);PubChem class - bio and metabolites;KEGG:(C17008);Biocyc:(CPD-21480)	20482422	526.2651	346.072	1503_6_Brassimet_Leaves_PAXs_36_Pos_1587
276	1	1	1	0.385980609522285	-234.62426472499536	0.0	56.98071584488097	C14H14N2O5S	[M + H]+	HUDWIFIDRNEBOA	InChI=1S/C14H14N2O5S/c17-10(6-21-8-4-2-1-3-5-8)15-11-12(18)16-9(14(19)20)7-22-13(11)16/h1-5,9,11,13H,6-7H2,(H,15,17)(H,19,20)	7-oxo-6-[(2-phenoxyacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid	C1C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O	0.214705661	20514492;53896677;70547825;101545712	COCONUT:(CNP0337710);MeSH:(101545712);PubChem:(20514492 53896677 70547825 101545712)	2097158	323.07	65.571	1295_6_Brassimet_Leaves_PAXs_32_Pos_611
277	2	1	1	0.3857817125109129	-55.954301842651134	0.6422110552763819	8.62671089174717	C12H18O7S	[M - H]-	MLUJBNROAVANKK	InChI=1S/C12H18O7S/c13-11-6-5-9(8-12(14)15)10(11)4-2-1-3-7-19-20(16,17)18/h1-2,9-10H,3-8H2,(H,14,15)(H,16,17,18)	null	C1CC(=O)C(C1CC(=O)O)CC=CCCOS(=O)(=O)O	0.0	44815853;58478980;75075824;87909310;123530533;126843508;126843509;126961020;126961031	COCONUT:(CNP0112447);Natural Products:(UNPD29663);PubChem:(44815853 58478980 75075824 87909310 123530533 126843508 126843509 126961020 126961031);SuperNatural:(SN00248233);CHEBI:(136811);PubChem class - bio and metabolites;KEGG:(C21671);Plantcyc:(CPD-19816);Training Set;Biocyc:(CPD-19816 CPD-19727)	20105506	305.0702	238.529	2491_6_Brassimet_Leaves_PAXs_6_Neg_939
278	12	1	2	0.38542580376053387	-240.36860216822325	0.022110552763819097	35.726710531550445	C22H29NO9	[M + K]+	HLGSHDLKGYMREZ	InChI=1S/C22H29NO9/c1-11-7-8-12(2)17(9-11)31-22-19(23-13(3)24)21(30-16(6)27)20(29-15(5)26)18(32-22)10-28-14(4)25/h7-9,18-22H,10H2,1-6H3,(H,23,24)	Phenylethyl 2-acetamido-3,4,6-tri-O-acetyl-2-deoxy-b-D-glucopyranoside	CC1=CC(=C(C=C1)C)OC2C(C(C(C(O2)COC(=O)C)OC(=O)C)OC(=O)C)NC(=O)C	1.70000005	3735610;9538844;42580350;42580351;42580352;42580353;51471385;51471386;51471387;51471388;124759665;124759666;124759667;124759668	COCONUT:(CNP0372961);PubChem:(3735610 9538844 42580350 42580351 42580352 42580353 51471385 51471386 51471387 51471388 124759665 124759666 124759667 124759668);SuperNatural:(SN00077229);ZINC bio:(ZINC08433333)	3153922	490.1414	205.25	888_6_Brassimet_Leaves_PAXs_25_Pos_4881
279	1	1	2	0.38413939578719947	-248.22357256919173	0.9959798994974873	29.0064898235906	C19H35N7O6	[M - H]-	CZZHGCUHPQAEMT	InChI=1S/C19H35N7O6/c1-12(28)23-9-3-2-6-15(26-17(31)14(20)7-8-16(29)30)18(32)25-13(11-27)5-4-10-24-19(21)22/h11,13-15H,2-10,20H2,1H3,(H,23,28)(H,25,32)(H,26,31)(H,29,30)(H4,21,22,24)	null	CC(=O)NCCCCC(C(=O)NC(CCCN=C(N)N)C=O)NC(=O)C(CCC(=O)O)N	-5.30000019	90642937	PubChem:(90642937);PubChem class - bio and metabolites	16777218	456.2607	508.594	1695_6_Brassimet_Leaves_PAXs_4_Neg_727
280	2	1	1	0.3836106373722155	-895.91307435303	0.029648241206030154	39.74881109607212	C20H28N2O11S	[M + H]+	XGWDDHZGWVTALT	InChI=1S/C20H28N2O11S/c1-31-18-13(24)9(7-21-3-5-22(6-4-21)34(2,29)30)11-12(15(18)26)17-19(33-20(11)28)16(27)14(25)10(8-23)32-17/h10,14,16-17,19,23-27H,3-8H2,1-2H3	null	COC1=C(C(=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)CN4CCN(CC4)S(=O)(=O)C)O	-2.0999999	71754112;90489211;99804805;99804806;99804807;123132611;133142016	COCONUT:(CNP0400310);PubChem:(71754112 90489211 99804805 99804806 99804807 123132611 133142016);SuperNatural:(SN00113835);ZINC bio:(ZINC79191670)	3153922	505.1524	62.488	930_6_Brassimet_Leaves_PAXs_25_Pos_1457
281	1	1	1	0.38327324157092113	-84.6493261924637	0.02562814070351759	43.98832728063881	C22H28O14	[M + H]+	DVSKLQXWNBGVPV	InChI=1S/C22H28O14/c23-8-14-16(28)17(29)18(30)20(35-14)34-13-5-9(1-3-10(13)24)2-4-15(27)36-19-11(25)6-22(33,21(31)32)7-12(19)26/h1-5,11-12,14,16-20,23-26,28-30,33H,6-8H2,(H,31,32)	null	C1C(C(C(CC1(C(=O)O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)OC3C(C(C(C(O3)CO)O)O)O)O	-2.20000005	90479638	COCONUT:(CNP0129207);Natural Products:(UNPD210011);PubChem:(90479638)	2129922	517.155	106.243	1463_6_Brassimet_Leaves_PAXs_35_Pos_901
282	1	1	1	0.3829884444594185	-64.52516127536285	0.9999999999999999	165.76261859353392	C13H18O2	[M + H]+	MLYOGKJJENFVJN	InChI=1S/C13H18O2/c1-9-7-11(15)8-13(3,4)12(9)6-5-10(2)14/h5-7,12H,8H2,1-4H3	3-Oxo-.alpha.-ionone	CC1=CC(=O)CC(C1C=CC(=O)C)(C)C	1.60000002	522724;5363685;13146048;13146049	COCONUT:(CNP0308093);Natural Products:(UNPD65609 UNPD90576);PubChem:(522724 5363685 13146048 13146049);SuperNatural:(SN00377045 SN00298544);YMDB Mine;PubMed	34362916930	207.1379	279.089	397_6_Brassimet_Leaves_PAXs_16_Pos_1368
283	1	1	1	0.3829067233094334	-177.69939865541426	0.9999999999999999	55.337264585927734	C10H10N2O2S	[M + H]+	NZGWDNMCXFHPJD	InChI=1S/C10H10N2O2S/c1-11-15(13,14)10-4-2-3-8-7-12-6-5-9(8)10/h2-7,11H,1H3	N-methylisoquinoline-5-sulfonamide	CNS(=O)(=O)C1=CC=CC2=C1C=CN=C2	1.10000002	13135510	PubChem:(13135510);PubMed;PubChem class - bio and metabolites	16777282	223.0543	78.777	2051_6_Brassimet_Leaves_PAXs_46_Pos_1146
284	1	1	1	0.38165922082629317	-7.53108155859898	0.9999999999999999	108.29964566256295	C9H10O5	[M + H]+	JMSVCTWVEWCHDZ	InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)	bmse000607	COC1=CC(=CC(=C1O)OC)C(=O)O	0.871434987	10742;10679513;54694262;131708654	HMDB:(2085);PubChem class - food;SuperNatural:(SN00001175);ZINC bio:(ZINC00156386);additional;MeSH:(10742);PubMed;NORMAN:(NS00001894);COCONUT:(CNP0155116 CNP0251836);KNApSAcK:(2674);Natural Products:(UNPD17684 UNPD58549);PubChem:(10742 10679513 54694262 131708654);CHEBI:(132111 68329);PubChem class - bio and metabolites;KEGG:(C10833);PubChem class - safety and toxic;YMDB:(1787);Training Set;Biocyc:(CPD-8486)	222161278	199.0601	159.387	686_6_Brassimet_Leaves_PAXs_21_Pos_4361
285	3	1	2	0.3813273803195294	-299.41668182960643	0.2226130653266332	61.64984450677646	C22H25NO11	[M + H]+	GACJHFNYNLTCLF	InChI=1S/C22H25NO11/c1-31-11-4-6-15(33-22-19(28)18(27)17(26)16(9-24)34-22)13(8-11)20(29)23-14-5-3-10(25)7-12(14)21(30)32-2/h3-8,16-19,22,24-28H,9H2,1-2H3,(H,23,29)	methyl 5-hydroxy-2-[[5-methoxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybenzoyl]amino]benzoate	COC1=CC(=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O)C(=O)NC3=C(C=C(C=C3)O)C(=O)OC	0.600000024	21580559	COCONUT:(CNP0063056);Natural Products:(UNPD116342);PubChem:(21580559);SuperNatural:(SN00318888)	3178498	480.1495	375.008	1252_6_Brassimet_Leaves_PAXs_31_Pos_5992
286	1	1	1	0.3813030813985468	-130.67559659932675	0.9391959798994975	53.48160323174446	C20H25N5O7S	[M + H]+	RAKAOQJZHXOSHL	InChI=1S/C20H25N5O7S/c21-13(20(30)31)5-6-16(26)24-15(19(29)23-9-18(27)28)10-33-17(25-32)7-11-8-22-14-4-2-1-3-12(11)14/h1-4,8,13,15,22,32H,5-7,9-10,21H2,(H,23,29)(H,24,26)(H,27,28)(H,30,31)	null	C1=CC=C2C(=C1)C(=CN2)CC(=NO)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N	-2.4000001	90658497;90658498	PubChem:(90658497 90658498);CHEBI:(137265 136444);PubChem class - bio and metabolites;KEGG:(C21620);Plantcyc:(CPD-12387);Biocyc:(CPD-12387)	16910626	480.1547	231.134	424_6_Brassimet_Leaves_PAXs_16_Pos_4067
287	2	1	2	0.3805651296376332	-67.94770038736092	0.9969849246231156	38.045301901997654	C13H16O8	[M + H]+	XWTGDGASXRARSP	InChI=1S/C13H16O8/c14-5-8-9(16)10(17)11(18)13(20-8)21-12(19)6-1-3-7(15)4-2-6/h1-4,8-11,13-18H,5H2	[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 4-hydroxybenzoate	C1=CC(=CC=C1C(=O)OC2C(C(C(C(O2)CO)O)O)O)O	-0.886560917	14132341;14132342;50906377;54492551;66694901;91247492	COCONUT:(CNP0289005);Natural Products:(UNPD134590 UNPD84478 UNPD141396);PubChem:(14132341 14132342 50906377 54492551 66694901 91247492);SuperNatural:(SN00263496 SN00392758);PubChem class - bio and metabolites;Plantcyc:(CPD-15283);PubMed;Biocyc:(CPD-15283)	20088898	301.0922	192.367	966_6_Brassimet_Leaves_PAXs_26_Pos_5068
288	1	1	1	0.37998816256357826	-65.13842414084398	0.9999999999999999	58.80156668142459	C13H16O8	[M + H]+	XWTGDGASXRARSP	InChI=1S/C13H16O8/c14-5-8-9(16)10(17)11(18)13(20-8)21-12(19)6-1-3-7(15)4-2-6/h1-4,8-11,13-18H,5H2	[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 4-hydroxybenzoate	C1=CC(=CC=C1C(=O)OC2C(C(C(C(O2)CO)O)O)O)O	-0.886560917	14132341;14132342;50906377;54492551;66694901;91247492	COCONUT:(CNP0289005);Natural Products:(UNPD134590 UNPD84478 UNPD141396);PubChem:(14132341 14132342 50906377 54492551 66694901 91247492);SuperNatural:(SN00263496 SN00392758);PubChem class - bio and metabolites;Plantcyc:(CPD-15283);PubMed;Biocyc:(CPD-15283)	20088898	301.0917	127.252	400_6_Brassimet_Leaves_PAXs_16_Pos_4028
