rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
326	4	1	1	0.2065396801269325	-113.08612343837574	0.010050251256281409	26.845887248918704	C11H16N5O7P	[M + H]+	OYQVPLDFZZKUTQ	InChI=1S/C11H16N5O7P/c1-21-24(19,20)22-2-5-7(17)8(18)11(23-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H,19,20)(H2,12,13,14)	Adenosine 5''-methyl phosphate	COP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O	-2.11529946	515377;323498;3082029;46876694;68016903;68026771;135029190	MeSH:(3082029);PubChem:(515377 323498 3082029 46876694 68016903 68026771 135029190);PubMed	70	362.0847	104.623	425_1_Brassimet_Roots_Neg-POS_PAXs_16_p1890
327	1	1	1	0.2051451147766284	-271.75745530565086	0.0	69.4345774643889	C15H16N2O5	[M + Na]+	SGCOLRKCFITSSU	InChI=1S/C15H16N2O5/c1-8-12(15(19)20)13(22-17-8)9(2)16-14(18)10-4-6-11(21-3)7-5-10/h4-7,9H,1-3H3,(H,16,18)(H,19,20)	null	CC1=NOC(=C1C(=O)O)C(C)NC(=O)C2=CC=C(C=C2)OC	1.5	75368314	PubChem:(75368314);COCONUT:(CNP0061239)	2097154	327.0952	792.993	488_1_Brassimet_Roots_Neg-POS_PAXs_17_p1144
328	1	1	1	0.20461110513318725	-376.8562171748313	0.9487437185929648	55.11637879558373	C23H29NO12	[M + H]+	YQYJSBFKSSDGFO	InChI=1S/C23H29NO12/c1-8(22(32)24-13-14(27)16(29)21-20(15(13)28)33-7-34-21)5-10-3-4-12(11(26)6-10)35-23-18(31)17(30)19(36-23)9(2)25/h3-6,13-21,23,26-31H,7H2,1-2H3,(H,24,32)	Homomycin	CC(=CC1=CC(=C(C=C1)OC2C(C(C(O2)C(=O)C)O)O)O)C(=O)NC3C(C(C4C(C3O)OCO4)O)O	-1.79999995	3032508;6433481;6443870;9936165;9958021;13922135;11466383;18350049;20054941;44263880;59062288;59665525;59958623;71126418;90659079;90775265;91573989;91431496;101156742;129628308	COCONUT:(CNP0284103);KNApSAcK:(18293);Natural Products:(UNPD59865 UNPD68863 UNPD153551 UNPD176622);PubChem:(3032508 6433481 6443870 9936165 9958021 13922135 11466383 18350049 20054941 44263880 59062288 59665525 59958623 71126418 90659079 90775265 91573989 91431496 101156742 129628308);SuperNatural:(SN00355396 SN00294201 SN00380927);CHEBI:(69414);MeSH:(6433481 11466383 44263880 90659079);KEGG:(C17579);PubChem class - safety and toxic;PubMed;Biocyc:(CPD-15351)	70289782	512.1761	259.906	1068_1_Brassimet_Roots_Neg-POS_PAXs_7_p2846
329	1	1	1	0.2043847491851679	-119.74500760988249	0.9999999999999999	70.36236106911315	C18H35NO4	[M + H]+	MZUHHHSFDVDBCZ	InChI=1S/C18H35NO4/c1-2-3-4-5-6-7-8-9-10-11-12-13-16(20)14-17(21)19-15-18(22)23/h16,20H,2-15H2,1H3,(H,19,21)(H,22,23)	null	CCCCCCCCCCCCCC(CC(=O)NCC(=O)O)O	5.0999999	10711444;124577816;124577817;134820377	COCONUT:(CNP0220282);PubChem:(10711444 124577816 124577817 134820377);PubMed;Biocyc:(CPD-21035)	2099266	330.2638	978.771	540_1_Brassimet_Roots_Neg-POS_PAXs_18_p2377
330	2	1	2	0.20423690369483355	-426.23734388255406	0.02814070351758794	20.172149436161224	C26H30N2O7S2	[M + H]+	ZHRUQGSDRAEIQM	InChI=1S/C26H30N2O7S2/c1-32-22-10-16-5-7-27-21(19(16)12-24(22)34-3)9-17-11-23(33-2)25(35-4)13-20(17)28-26(29)14-36-18-6-8-37(30,31)15-18/h5,7,10-13,18H,6,8-9,14-15H2,1-4H3,(H,28,29)	N-{2-[(6,7-dimethoxyisoquinolyl)methyl]-4,5-dimethoxyphenyl}-2-(1,1-dioxothiol an-3-ylthio)acetamide	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4CCS(=O)(=O)C4)OC)OC)OC	3.4000001	17234209;95402691;95402692	COCONUT:(CNP0318189);Training Set;PubChem:(17234209 95402691 95402692)	2113538	547.1595	254.026	1048_1_Brassimet_Roots_Neg-POS_PAXs_7_p2405
331	1	1	1	0.20354379177434087	-519.4441809687623	0.0	25.27386545618263	C18H17NO9	[M + H]+	GZFJEUIDSYJVLW	InChI=1S/C18H17NO9/c20-10-3-9(4-11(21)5-10)18-16(27-17(24)1-2-19(25)26)8-13-14(23)6-12(22)7-15(13)28-18/h3-7,16,18,20-23H,1-2,8H2	null	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=CC(=C3)O)O)OC(=O)CC[N+](=O)[O-]	1.81017935	""	Natural Products:(UNPD215334)	32768	392.0968	405.075	261_1_Brassimet_Roots_Neg-POS_PAXs_13_p1361
332	1	1	1	0.20312286745996902	-375.1769840057195	0.9999999999999999	31.67481292236402	C16H21N3O5S	[M + H]+	NHUWVMOPOQFPTG	InChI=1S/C16H21N3O5S/c1-11-5-4-6-15(17-11)23-14-9-19(7-8-22-10-14)25(20,21)16-12(2)18-24-13(16)3/h4-6,14H,7-10H2,1-3H3	null	CC1=NC(=CC=C1)OC2CN(CCOC2)S(=O)(=O)C3=C(ON=C3C)C	1.29999995	75367636	PubChem:(75367636);COCONUT:(CNP0045798)	2097154	368.1277	287.921	1123_1_Brassimet_Roots_Neg-POS_PAXs_8_p481
333	1	1	1	0.20306507507832708	-78.8703179344619	0.9999999999999999	28.39752502047621	C16H35NO3	[M + H]+	OCHZTELGZBWSJD	InChI=1S/C16H35NO3/c1-2-3-4-5-6-7-8-9-10-11-12-15(19)16(20)14(17)13-18/h14-16,18-20H,2-13,17H2,1H3	hexadecaphytosphingosine	CCCCCCCCCCCCC(C(C(CO)N)O)O	3.5999999	11673695;11312307;72551566	COCONUT:(CNP0278039);Natural Products:(UNPD25933 UNPD48501 UNPD49310 UNPD30224);PubChem:(11673695 11312307 72551566);SuperNatural:(SN00274280 SN00399066 SN00334399 SN00278375);CHEBI:(76699 76698);YMDB:(1098);KEGG Mine	8593178658	290.269	832.368	507_1_Brassimet_Roots_Neg-POS_PAXs_18_p566
334	1	1	1	0.20293686105114425	-64.3431431623575	0.9999999999999999	63.76663287000572	C11H12O3	[M + H]+	KNUFNLWDGZQKKJ	InChI=1S/C11H12O3/c1-13-10-6-5-9(4-3-7-12)8-11(10)14-2/h3-8H,1-2H3	bmse010082	COC1=C(C=C(C=C1)C=CC=O)OC	2.04547644	107557;5375268	COCONUT:(CNP0207087);KNApSAcK:(38240);Natural Products:(UNPD112800 UNPD228805);PubChem:(107557 5375268);SuperNatural:(SN00143349 SN00143309);CHEBI:(86548);ZINC bio:(ZINC06018566);PubMed;KEGG Mine	8593121394	193.0859	166.382	761_1_Brassimet_Roots_Neg-POS_PAXs_22_p1787
335	2	1	1	0.20257219723670783	-215.57021698356326	0.29145728643216084	71.30247370102829	C19H29NO11	[M + H]+	INVGOWRUVVHOKW	InChI=1S/C19H29NO11/c1-28-9-4-2-8(3-5-9)20-18-15(26)14(25)17(11(7-22)29-18)31-19-16(27)13(24)12(23)10(6-21)30-19/h2-5,10-27H,6-7H2,1H3	2-[4,5-dihydroxy-2-(hydroxymethyl)-6-(4-methoxyanilino)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	COC1=CC=C(C=C1)NC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)O	-2.4000001	3791579;16401915	COCONUT:(CNP0236423);PubChem:(3791579 16401915);SuperNatural:(SN00108465);ZINC bio:(ZINC70691919)	3153922	448.1817	220.399	976_1_Brassimet_Roots_Neg-POS_PAXs_5_p1068
336	1	1	1	0.20209445125439687	-37.60290366912487	0.9999999999999999	27.266833896711333	C9H9N	[M + H]+	BHNHHSOHWZKFOX	InChI=1S/C9H9N/c1-7-6-8-4-2-3-5-9(8)10-7/h2-6,10H,1H3	Methylketole	CC1=CC2=CC=CC=C2N1	2.50648737	7224;12196820;12196821;23278508;58710289;131844841;131844842	PubChem class - food;additional;MeSH:(7224);PubMed;NORMAN:(NS00010851);COCONUT:(CNP0223946);Natural Products:(UNPD31011);PubChem:(7224 12196820 12196821 23278508 58710289 131844841 131844842);CHEBI:(49402);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;Biocyc:(CPD-13298)	221038694	132.0803	575.731	385_1_Brassimet_Roots_Neg-POS_PAXs_15_p1641
337	1	1	1	0.20051296914348085	-111.16570323192569	0.9999999999999999	69.06872823087775	C20H18O4	[M + H]+	LPMQCBIQYLTZFQ	InChI=1S/C20H18O4/c1-23-19(21)17-15-11-7-3-5-9-13(11)16(18(17)20(22)24-2)14-10-6-4-8-12(14)15/h3-10,15-18H,1-2H3	Oprea1_159358	COC(=O)C1C(C2C3=CC=CC=C3C1C4=CC=CC=C24)C(=O)OC	2.9000001	727277;727280;727282;345469	COCONUT:(CNP0416806);PubChem:(727277 727280 727282 345469);SuperNatural:(SN00132640 SN00117379 SN00117378);PubMed;ZINC bio:(ZINC00136400 ZINC00136402 ZINC13140241)	3153986	323.128	951.575	535_1_Brassimet_Roots_Neg-POS_PAXs_18_p1556
338	1	1	1	0.20046222835288532	-317.78964289865826	0.9999999999999999	91.32538733332366	C17H19N3O7	[M + H]+	GOZKVJYDZYJVDH	InChI=1S/C17H19N3O7/c21-13(5-6-15(23)24)18-8-10-1-3-11(4-2-10)9-27-17(26)19-12-7-14(22)20-16(12)25/h1-4,12H,5-9H2,(H,18,21)(H,19,26)(H,23,24)(H,20,22,25)	null	C1C(C(=O)NC1=O)NC(=O)OCC2=CC=C(C=C2)CNC(=O)CCC(=O)O	-1.10000002	138756824	PubChem:(138756824);PubChem class - bio and metabolites	16777218	378.1293	229.462	999_1_Brassimet_Roots_Neg-POS_PAXs_6_p2586
339	1	1	2	N/A	-404.2056466305066	0.9065326633165829	28.635765480668656	C12H17N2O6PS	[M - H]-	VGQJNYUIUBRKHQ	InChI=1S/C12H17N2O6PS/c1-9(2)12(15)13-10-6-5-7-11(8-10)22(17,18)14-21(16,19-3)20-4/h5-8H,1H2,2-4H3,(H,13,15)(H,14,16)	N-[3-(dimethoxyphosphorylsulfamoyl)phenyl]-2-methylprop-2-enamide	CC(=C)C(=O)NC1=CC(=CC=C1)S(=O)(=O)NP(=O)(OC)OC	0.5	85085	PubChem:(85085);NORMAN:(NS00025128)	262146	347.0442	226.134	39_1_Brassimet_Roots_Neg-POS_PAXs_0_n747
340	1	1	2	0.20014969160212023	-169.72345046903345	0.9778894472361811	26.069943297830115	C16H20O11	[M + Na]+	VDDHAABYTSDDKL	InChI=1S/C16H20O11/c1-25-15(24)8(18)5-6-2-3-9(7(17)4-6)26-16-12(21)10(19)11(20)13(27-16)14(22)23/h2-4,8,10-13,16-21H,5H2,1H3,(H,22,23)	null	COC(=O)C(CC1=CC(=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O)O)O	-0.800000012	131831514	HMDB:(124952);PubChem:(131831514);PubChem class - bio and metabolites	16777226	411.09	192.454	810_1_Brassimet_Roots_Neg-POS_PAXs_23_p226
341	1	1	4	N/A	-320.92898130921134	0.4698492462311558	51.48794504275987	C23H27N7O8	[M + H]+	YSPJESWTPGIKKF	InChI=1S/C23H27N7O8/c1-10-2-14-15(3-11(10)5-29-6-12(25-9-29)4-13(24)22(36)37)30(7-16(32)19(34)17(33)8-31)20-18(26-14)21(35)28-23(38)27-20/h2-3,6,9,13,16-17,19,31-34H,4-5,7-8,24H2,1H3,(H,36,37)(H,28,35,38)	N(3)-Histidylriboflavin	CC1=CC2=C(C=C1CN3C=C(N=C3)CC(C(=O)O)N)N(C4=NC(=O)NC(=O)C4=N2)CC(C(C(CO)O)O)O	-1.95294404	193752;91820568;91820569	MeSH:(193752);PubChem:(193752 91820568 91820569);PubMed;PubChem class - bio and metabolites	16777286	530.1953	761.485	478_1_Brassimet_Roots_Neg-POS_PAXs_17_p1231
342	3	1	2	0.19943192010284108	-309.41066368829723	0.018090452261306532	41.05773843266418	C15H17N5O5	[M + Na]+	CAGLGYNQQSIUGX	InChI=1S/C15H17N5O5/c21-5-9-11(22)12(23)15(25-9)20-7-19-10-13(17-6-18-14(10)20)16-4-8-2-1-3-24-8/h1-3,6-7,9,11-12,15,21-23H,4-5H2,(H,16,17,18)	Ribosylkinetin	C1=COC(=C1)CNC2=C3C(=NC=N2)N(C=N3)C4C(C(C(O4)CO)O)O	-0.61888212	3832;20345;688504;1268307;7059535;7059536;7059537;6604676;25880666;29982692;45039636;46874999;56995701;71267820;92171127;121399403;124718425;133688633;132471330	NORMAN:(NS00046394);COCONUT:(CNP0208118);PubChem:(3832 20345 688504 1268307 7059535 7059536 7059537 6604676 25880666 29982692 45039636 46874999 56995701 71267820 92171127 121399403 124718425 133688633 132471330);SuperNatural:(SN00002820);CHEBI:(95050);ZINC bio:(ZINC02169849);additional;MeSH:(20345);Training Set;PubMed	3956838	370.1148	405.489	265_1_Brassimet_Roots_Neg-POS_PAXs_13_p1266
343	1	1	1	0.19928700751253084	-124.91100534107059	0.9999999999999999	83.91600258381675	C15H22N2O3	[M + H]+	RFCVXVPWSPOMFJ	InChI=1S/C15H22N2O3/c1-10(2)8-13(15(19)20)17-14(18)12(16)9-11-6-4-3-5-7-11/h3-7,10,12-13H,8-9,16H2,1-2H3,(H,17,18)(H,19,20)	Phenylalanylleucine	CC(C)CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N	1.55695367	76808;4078229;7010521;23278178;44372743;57147903;61724362;61157878;71359973;78975638;78985342;78985484	COCONUT:(CNP0139131);PubChem:(76808 4078229 7010521 23278178 44372743 57147903 61724362 61157878 71359973 78975638 78985342 78985484);CHEBI:(91150);ZINC bio:(ZINC02390944);additional;PubChem class - bio and metabolites;MeSH:(76808 4078229);Training Set;PubMed;KEGG Mine	8609357926	279.1674	253.997	1049_1_Brassimet_Roots_Neg-POS_PAXs_7_p2635
344	1	1	1	0.19867724244672844	-723.9234278257668	0.9552763819095478	105.09408850231435	C18H29N6O8P	[M + H]+	JHHMUTYUULFLKH	InChI=1S/C18H29N6O8P/c1-10(19)15(25)24-14(9-11-4-6-12(7-5-11)32-33(29,30)31)16(26)23-13(17(27)28)3-2-8-22-18(20)21/h4-7,10,13-14H,2-3,8-9,19H2,1H3,(H,23,26)(H,24,25)(H,27,28)(H4,20,21,22)(H2,29,30,31)	(2S)-2-[[(2S)-2-[[(2S)-2-aminopropanoyl]amino]-3-(4-phosphonooxyphenyl)propanoyl]amino]-5-(diaminomethylideneamino)pentanoic acid	CC(C(=O)NC(CC1=CC=C(C=C1)OP(=O)(O)O)C(=O)NC(CCCN=C(N)N)C(=O)O)N	-4.80000019	16040234	PubChem:(16040234);PubChem class - bio and metabolites	16777218	489.1909	714.057	457_1_Brassimet_Roots_Neg-POS_PAXs_17_p1966
345	1	1	2	N/A	-712.8045013487197	0.9542713567839197	36.79238632227141	C16H21N3O7	[M + H]+	IOVMNRAFAPHDOK	InChI=1S/C16H21N3O7/c17-16(19-6-5-8-3-1-2-4-9(8)7-19)18-26-15-12(22)10(20)11(21)13(25-15)14(23)24/h1-4,10-13,15,20-22H,5-7H2,(H2,17,18)(H,23,24)	1-O-{-[amino(3,4-dihydroisoquinolin-2(1H)-yl)methylene]amino}-beta-D-glucopyranuronic acid	C1CN(CC2=CC=CC=C21)C(=NOC3C(C(C(C(O3)C(=O)O)O)O)O)N	-0.600000024	70678657;139031548	PubChem:(70678657 139031548);CHEBI:(65137)	34	368.1454	113.417	648_1_Brassimet_Roots_Neg-POS_PAXs_20_p1095
346	2	1	1	0.19590734422272446	-152.27719413972787	0.06030150753768845	46.18313035863905	C8H15N3O5S2	[M + K]+	ZHRLECIZINSPKL	InChI=1S/C8H15N3O5S2/c9-4(7(14)11-1-6(12)13)2-17-18-3-5(10)8(15)16/h4-5H,1-3,9-10H2,(H,11,14)(H,12,13)(H,15,16)	Cystinyl-gly	C(C(C(=O)NCC(=O)O)N)SSCC(C(=O)O)N	-6.9000001	172548;20849033;21125063;22833544	COCONUT:(CNP0084064);HMDB:(709);PubChem:(172548 20849033 21125063 22833544);SuperNatural:(SN00215824);CHEBI:(89930);PubChem class - bio and metabolites;MeSH:(172548 22833544);PubMed;KEGG Mine	8609857646	336.0072	141.357	721_1_Brassimet_Roots_Neg-POS_PAXs_21_p1171
347	3	1	1	0.19550844992665897	-132.09499876123118	0.017587939698492462	32.640466709089	C26H32O13	[M + Na]+	PVLQCQIILHIDGG	InChI=1S/C26H32O13/c1-34-14-7-10(3-5-12(14)28)22-17-18(23(37-24(17)33)11-4-6-13(29)15(8-11)35-2)25(38-22)39-26-21(32)20(31)19(30)16(9-27)36-26/h3-8,16-33H,9H2,1-2H3	Lactucaside	COC1=C(C=CC(=C1)C2C3C(C(OC3O)C4=CC(=C(C=C4)O)OC)C(O2)OC5C(C(C(C(O5)CO)O)O)O)O	-0.400000006	6918761;11103620;10482731;44566763;51027924;69651860	COCONUT:(CNP0244781);KNApSAcK:(44851);Natural Products:(UNPD114269 UNPD69310);PubChem:(6918761 11103620 10482731 44566763 51027924 69651860);SuperNatural:(SN00278775 SN00322907);MeSH:(6918761 11103620 44566763);PubMed	3178582	575.1733	246.779	1026_1_Brassimet_Roots_Neg-POS_PAXs_6_p1462
348	7	1	1	0.19516678533157447	-49.756953126430176	0.9984924623115577	56.30024129831297	C23H48O12	[M + H3N + H]+	VWDQSWKLHABGKL	InChI=1S/C23H48O12/c1-25-4-5-27-8-9-29-12-13-31-16-17-33-20-21-35-23-22-34-19-18-32-15-14-30-11-10-28-7-6-26-3-2-24/h24H,2-23H2,1H3	ACMC-20mkri	COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO	-2.0999999	14433924	PubChem:(14433924);PubChem class - bio and metabolites	16777218	534.3484	322.267	123_1_Brassimet_Roots_Neg-POS_PAXs_10_p2639
349	1	1	1	0.19429592303469054	-63.27498156558785	0.9999999999999999	52.40280701186437	C10H15N3	[M + H]+	ZFBRKSGGMODDHD	InChI=1S/C10H15N3/c1-9-2-3-12-10(8-9)13-6-4-11-5-7-13/h2-3,8,11H,4-7H2,1H3	(4-methyl-2-pyridyl)piperazine	CC1=CC(=NC=C1)N2CCNCC2	1.0	2760058;7016842	PubChem:(2760058 7016842);PubChem class - safety and toxic	67108866	178.1335	160.902	754_1_Brassimet_Roots_Neg-POS_PAXs_22_p641
350	1	1	1	0.19421889705490933	-38.14057847548579	0.9999999999999999	177.9762827422004	C18H28O3	[M + H]+	ACHDMUPTZYZIGR	InChI=1S/C18H28O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8,11,14H,2,5,7,9-10,12-13,15-16H2,1H3,(H,20,21)	9-Oxo-10,12,15-odta	CCC=CCC=CC=CC(=O)CCCCCCCC(=O)O	4.5999999	3017510;6365597;11380794	COCONUT:(CNP0256961);Natural Products:(UNPD131773);PubChem:(3017510 6365597 11380794);CHEBI:(142251);additional;MeSH:(6365597);Training Set;PubMed;KEGG Mine	8592605286	293.2111	910.346	527_1_Brassimet_Roots_Neg-POS_PAXs_18_p829
351	7	1	1	0.1937053866396732	-229.30170593217252	0.0035175879396984935	23.408983674576348	C16H32N4O9	[M + K]+	OGDYBYDLKLNMQK	InChI=1S/C16H32N4O9/c17-3-5(21)1-9(22)20-7-2-6(19)15(13(26)10(7)23)29-16-14(27)12(25)11(24)8(4-18)28-16/h5-8,10-16,21,23-27H,1-4,17-19H2,(H,20,22)	null	C1C(C(C(C(C1NC(=O)CC(CN)O)O)O)OC2C(C(C(C(O2)CN)O)O)O)N	-5.9000001	71300712	PubChem:(71300712);PubChem class - safety and toxic	67108866	463.1786	138.193	714_1_Brassimet_Roots_Neg-POS_PAXs_21_p737
352	1	1	2	0.19328212184229257	-130.87991998388256	0.20954773869346732	13.375754177426922	C16H30O6	[M - H]-	DVIKJRSTGGXNJP	InChI=1S/C16H30O6/c17-13(9-5-2-1-3-7-11-15(19)20)14(18)10-6-4-8-12-16(21)22/h13-14,17-18H,1-12H2,(H,19,20)(H,21,22)	7,8-dihydroxyhexadecanedioic acid	C(CCCC(C(CCCCCC(=O)O)O)O)CCCC(=O)O	2.29999995	14556981	COCONUT:(CNP0192455);Natural Products:(UNPD143364);PubChem:(14556981);SuperNatural:(SN00340328)	3178498	317.1973	336.034	608_1_Brassimet_Roots_Neg-POS_PAXs_2_n837
353	1	1	7	0.1931643094508962	-216.3222410428218	0.9809045226130654	39.995363589635296	C22H19N3O5	[M + H]+	CJERUMAUMMIPRF	InChI=1S/C22H19N3O5/c26-19-12-6-15(7-13-19)14-20(24-21(27)16-4-2-1-3-5-16)22(28)23-17-8-10-18(11-9-17)25(29)30/h1-13,20,26H,14H2,(H,23,28)(H,24,27)	Benzoyltyrosine 4-nitroanilide	C1=CC=C(C=C1)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC3=CC=C(C=C3)[N+](=O)[O-]	3.5999999	570856;188992;51066618	MeSH:(188992);PubChem:(570856 188992 51066618);PubMed;ZINC bio:(ZINC04534285 ZINC04899459)	8262	406.1401	354.77	185_1_Brassimet_Roots_Neg-POS_PAXs_11_p2590
354	7	1	1	0.19259717184186595	-267.4088952292579	0.008542713567839198	114.76981714330029	C21H27NO6	[M + H]+	WNQPJQSXCNSAMC	InChI=1S/C21H27NO6/c1-25-17-8-5-14(11-19(17)27-3)6-10-21(24)22-13-16(23)15-7-9-18(26-2)20(12-15)28-4/h5,7-9,11-12,16,23H,6,10,13H2,1-4H3,(H,22,24)	null	COC1=C(C=C(C=C1)CCC(=O)NCC(C2=CC(=C(C=C2)OC)OC)O)OC	2.20000005	108460962	HMDB:(135478);PubChem:(108460962);PubChem class - bio and metabolites	16777226	390.1914	590.146	394_1_Brassimet_Roots_Neg-POS_PAXs_15_p1964
355	1	1	1	0.1921538829870025	-285.6909086137106	0.9999999999999999	73.2296415804973	C20H35NO11	[M + H]+	JNMPSQHYACAHGC	InChI=1S/C20H35NO11/c1-5-6-27-16-15(30-19-17(16)31-20(3,4)32-19)10(24)8-28-18-12(21-9(2)23)14(26)13(25)11(7-22)29-18/h10-19,22,24-26H,5-8H2,1-4H3,(H,21,23)	N-[2-[2-(2,2-dimethyl-6-propoxy-3a,5,6,6a-tetrahydrofuro[2,3-d][1,3]dioxol-5-yl)-2-hydroxyethoxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide	CCCOC1C2C(OC1C(COC3C(C(C(C(O3)CO)O)O)NC(=O)C)O)OC(O2)(C)C	-1.70000005	3708399;16397492;95370703;95370704	COCONUT:(CNP0185416);PubChem:(3708399 16397492 95370703 95370704);SuperNatural:(SN00107236 SN00107237);ZINC bio:(ZINC70672060 ZINC70672062)	3153922	466.2285	482.625	354_1_Brassimet_Roots_Neg-POS_PAXs_15_p1700
356	1	1	1	0.1919859488672137	-221.1693318983317	0.9999999999999999	60.59690320863124	C11H19NO5	[M + Na]+	JYLHYOYRPZDJHM	InChI=1S/C11H19NO5/c1-7(2)6-8(11(16)17)12-9(13)4-3-5-10(14)15/h7-8H,3-6H2,1-2H3,(H,12,13)(H,14,15)(H,16,17)	Glutarylleucine	CC(C)CC(C(=O)O)NC(=O)CCCC(=O)O	0.600000024	130170;7019932;61666033;129366494	MeSH:(130170);PubChem:(130170 7019932 61666033 129366494);PubMed	70	268.1175	160.795	753_1_Brassimet_Roots_Neg-POS_PAXs_22_p2160
357	2	1	1	0.19170295973650842	-194.75701825872258	0.13718592964824122	54.21131532895919	C17H16N6O2S	[M + H]+	RAHGVIZTQAHVRX	InChI=1S/C17H16N6O2S/c1-22-10-11(9-18-22)17-20-19-15-6-7-16(21-23(15)17)26-14-8-12(24-2)4-5-13(14)25-3/h4-10H,1-3H3	null	CN1C=C(C=N1)C2=NN=C3N2N=C(C=C3)SC4=C(C=CC(=C4)OC)OC	2.0999999	77068229	PubChem:(77068229);PubMed;PubChem class - bio and metabolites	16777282	369.1118	142.234	723_1_Brassimet_Roots_Neg-POS_PAXs_21_p2793
358	1	1	3	N/A	-135.0494864506715	0.950251256281407	42.57325827757342	C11H10N2O2	[M + Na]+	KUBBZTZQWIGHFH	InChI=1S/C11H10N2O2/c1-15-11(14)9-2-4-10(5-3-9)13-7-6-12-8-13/h2-8H,1H3	Bionet2_000221	COC(=O)C1=CC=C(C=C1)N2C=CN=C2	1.5	2766374	PubChem class - safety and toxic;PubChem:(2766374);PubMed	67108930	225.0637	335.006	151_1_Brassimet_Roots_Neg-POS_PAXs_11_p836
359	1	1	1	0.19031582385715282	-117.5254712529379	0.9999999999999999	184.40985388596025	C16H24O3	[M + H]+	ZZBZHEMGDLGNDY	InChI=1S/C16H24O3/c1-11(2)14-6-5-12(3)16(19-13(4)17)10-9-15(18)8-7-14/h7-8,11,14,16H,3,5-6,9-10H2,1-2,4H3	null	CC(C)C1CCC(=C)C(CCC(=O)C=C1)OC(=O)C	3.46550941	""	COCONUT:(CNP0181847);Natural Products:(UNPD14161);SuperNatural:(SN00226114)	3178496	265.1799	335.763	152_1_Brassimet_Roots_Neg-POS_PAXs_11_p1515
360	1	1	1	0.19024485914433883	-56.786596857495944	0.9999999999999999	125.44653775149659	C18H28O2	[M + H]+	KDYILQLPKVZDGB	InChI=1S/C18H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-5,8,11-17H2,1H3,(H,19,20)	9,12-Octadecadiynoicacid	CCCCCC#CCC#CCCCCCCCC(=O)O	6.03444719	1931	PubChem:(1931);CHEBI:(142250);additional;MeSH:(1931);Training Set;PubMed	540774	277.2163	959.536	537_1_Brassimet_Roots_Neg-POS_PAXs_18_p618
361	1	1	1	0.18985982472487425	-326.13704009929154	0.9999999999999999	22.562214897332677	C13H16N2O2S	[M + H]+	FVYHWIBDYLBPNW	InChI=1S/C13H16N2O2S/c1-9(2)8-18-13-15-14-12(17-13)10-4-6-11(16-3)7-5-10/h4-7,9H,8H2,1-3H3	2-(4-methoxyphenyl)-5-(2-methylpropylsulfanyl)-1,3,4-oxadiazole	CC(C)CSC1=NN=C(O1)C2=CC=C(C=C2)OC	3.5999999	2398606	PubChem:(2398606);PubMed;CHEBI:(116828)	98	265.1019	260.768	1071_1_Brassimet_Roots_Neg-POS_PAXs_7_p2456
362	1	1	5	0.18927858704961048	-241.4264352942158	0.032663316582914576	15.695471214354434	C29H48O9	[M + K]+	BXCVQVUHONZMRU	InChI=1S/C29H48O9/c1-17(31)36-13-19-24(35-4)22(32)23(33)25(38-19)37-16-26(2)9-5-10-27(3)20(26)8-11-28-12-18(6-7-21(27)28)29(34,14-28)15-30/h18-25,30,32-34H,5-16H2,1-4H3	null	CC(=O)OCC1C(C(C(C(O1)OCC2(CCCC3(C2CCC45C3CCC(C4)C(C5)(CO)O)C)C)O)O)OC	2.34153223	""	COCONUT:(CNP0375041);Natural Products:(UNPD46007);SuperNatural:(SN00251358)	3178496	579.293	1305.274	560_1_Brassimet_Roots_Neg-POS_PAXs_19_p25
